#id	title	composer	source	licence	resource	part
lieder-lc5994814	1786 12 Lieder: 10 Da eben seinen Lauf verbracht	Maria Theresia von Paradis	OpenScore Lieder Corpus, scores/Paradis,_Maria_Theresia_von/12_Lieder,_1786/10_Da_eben_seinen_Lauf_verbracht/lc5994814.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc5994814.mxl	keyboard
lieder-lc6189628	Op.57 6 Sorrow Songs: 4 She sat and sang alway	Samuel Coleridge-Taylor	OpenScore Lieder Corpus, scores/Coleridge-Taylor,_Samuel/6_Sorrow_Songs,_Op.57/4_She_sat_and_sang_alway/lc6189628.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6189628.mxl	keyboard
lieder-lc6564424	Op.37 3 Shakespeare Songs: 1 O Mistress Mine	Amy Beach	OpenScore Lieder Corpus, scores/Beach,_Amy/3_Shakespeare_Songs,_Op.37/1_O_Mistress_Mine/lc6564424.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6564424.mxl	keyboard
lieder-lc29383976	Op.7 Les nuits d’été: 1 Villanelle	Hector Berlioz	OpenScore Lieder Corpus, scores/Berlioz,_Hector/Les_nuits_d’été,_Op.7/1_Villanelle/lc29383976.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc29383976.mxl	keyboard
lieder-lc6592481	Helen	Jane Bianchi Lacy	OpenScore Lieder Corpus, scores/Bianchi_Lacy,_Jane/_/Helen/lc6592481.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6592481.mxl	keyboard
lieder-lc6446003	Sappho at her Loom	Henry Bishop	OpenScore Lieder Corpus, scores/Bishop,_Henry/_/Sappho_at_her_Loom/lc6446003.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6446003.mxl	keyboard
lieder-lc5883528	Op.6 2 Duette: 1 Frühlingsanfang	Luise Adolpha Le Beau	OpenScore Lieder Corpus, scores/Le_Beau,_Luise_Adolpha/2_Duette,_Op.6/1_Frühlingsanfang/lc5883528.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc5883528.mxl	keyboard
lieder-lc6264559	Berceuse	Cécile Chaminade	OpenScore Lieder Corpus, scores/Chaminade,_Cécile/_/Berceuse/lc6264559.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6264559.mxl	keyboard
lieder-lc6631610	Dreams	Faustina Hasse Hodges	OpenScore Lieder Corpus, scores/Hodges,_Faustina_Hasse/_/Dreams/lc6631610.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6631610.mxl	keyboard
lieder-lc5061932	Op.3 12 Gesänge: 10 Der Mond	Louise Reichardt	OpenScore Lieder Corpus, scores/Reichardt,_Louise/12_Gesänge,_Op.3/10_Der_Mond/lc5061932.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc5061932.mxl	keyboard
lieder-lc6586916	Because I Am Your Friend	Carrie Jacobs-Bond	OpenScore Lieder Corpus, scores/Jacobs-Bond,_Carrie/_/Because_I_Am_Your_Friend/lc6586916.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6586916.mxl	keyboard
lieder-lc6480349	That Wakenest O Sun	Frederick Corder	OpenScore Lieder Corpus, scores/Corder,_Frederick/_/O_Sun,_That_Wakenest/lc6480349.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6480349.mxl	keyboard
lieder-lc5077780	Op.2 7 Mélodies: 7 Le Colibri	Ernest Chausson	OpenScore Lieder Corpus, scores/Chausson,_Ernest/7_Mélodies,_Op.2/7_Le_Colibri/lc5077780.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc5077780.mxl	keyboard
lieder-lc5098645	Op.32 9 Lieder und Gesänge: ich und meine Weide 8 So stehn wir	Johannes Brahms	OpenScore Lieder Corpus, scores/Brahms,_Johannes/9_Lieder_und_Gesänge,_Op.32/8_So_stehn_wir,_ich_und_meine_Weide/lc5098645.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc5098645.mxl	keyboard
lieder-lc6416048	12 New Songs: 10 For Ever Mine	Harold Boulton	OpenScore Lieder Corpus, scores/Boulton,_Harold/12_New_Songs/10_For_Ever_Mine/lc6416048.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6416048.mxl	keyboard
lieder-lc29477486	6 Romanze: 3 In solitaria stanza	Giuseppe Verdi	OpenScore Lieder Corpus, scores/Verdi,_Giuseppe/6_Romanze/3_In_solitaria_stanza/lc29477486.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc29477486.mxl	keyboard
lieder-lc5828468	Op.6 6 Gesänge: 6 Tränen	Robert Franz	OpenScore Lieder Corpus, scores/Franz,_Robert/6_Gesänge,_Op.6/6_Tränen/lc5828468.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc5828468.mxl	keyboard
lieder-lc6474359	10 Canzonets: Hob.XXVIa42 8 O tuneful Voice	Joseph Haydn	OpenScore Lieder Corpus, scores/Haydn,_Joseph/10_Canzonets/8_O_tuneful_Voice,_Hob.XXVIa42/lc6474359.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6474359.mxl	keyboard
lieder-lc6661685	Op.46 4 Songs: 4 Je pense à toi!	Laura Netzel	OpenScore Lieder Corpus, scores/Netzel,_Laura/4_Songs,_Op.46/4_Je_pense_à_toi!/lc6661685.mxl at 6b2dc542ce2e8aa4b78c8ee62103b210efc07015	Engraving from the OpenScore Lieder Corpus, released under Creative Commons Zero (CC0 1.0). Gotham & Jonas, 'The OpenScore Lieder Corpus' (2022).	/corpus/lieder/lieder-lc6661685.mxl	keyboard
